Name,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc..,SApM,Str. Def,TD Avg,TD Acc,TD Def.,Sub. Avg
Tom Aaron,,155 ,,, 1978,0.0,0,0.0,0,0.0,0,0,0.0
Hiroyuki Abe,1.6764,145 ,,Orthodox,,1.71,36,3.11,63,0.0,0,33,0.0
Shamil Abdurakhimov,1.905,235 ,76,Orthodox, 1981,2.45,44,2.45,58,1.23,24,47,0.2
Klidson Abreu,1.8288,205 ,74,Orthodox, 1992,2.05,40,2.9,55,0.64,20,80,0.0
Danny Abbadi,1.8034,155 ,,Orthodox, 1983,3.29,38,4.41,57,0.0,0,77,0.0
Ricardo Abreu,1.8034,185 ,,Orthodox, 1984,3.79,31,3.98,68,2.13,42,100,0.7
Daichi Abe,1.8034,170 ,71,Orthodox, 1991,3.8,33,4.49,56,0.33,50,0,0.0
Scott Adams,1.8288,225 ,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Zarrukh Adashev,1.651,125 ,65,Southpaw, 1992,3.75,33,3.75,33,0.0,0,0,0.0
Papy Abedi,1.8034,185 ,,Southpaw, 1978,2.8,55,3.15,48,3.47,57,50,1.3
Daniel Acacio,1.7271999999999998,180 ,,Orthodox, 1977,3.52,36,2.85,62,0.33,20,81,0.0
Anthony Adams,1.8541999999999998,185 ,76,Orthodox, 1988,3.17,41,5.93,44,0.0,0,0,0.0
David Abbott,1.8288,265 ,,Switch,,1.35,30,3.55,38,1.07,33,66,0.0
Juan Adams,1.9558,265 ,80,Orthodox, 1992,7.09,55,4.06,34,0.91,66,57,0.0
Sam Adkins,1.905,225 ,,Orthodox, 1965,0.0,0,0.0,0,0.0,0,0,0.0
Nick Agallar,1.7271999999999998,155 ,,Orthodox, 1979,0.69,11,4.56,42,0.0,0,0,0.0
Israel Adesanya,1.9304,185 ,80,Switch, 1989,4.1,50,2.33,65,0.0,0,86,0.3
Marcelo Aguiar,1.778,170 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Fabio Aguiar,1.8288,185 ,,, 1988,0.0,0,0.0,0,0.0,0,0,0.0
Mariya Agapova,1.6764,125 ,68,Southpaw, 1997,3.7,50,4.15,47,1.23,66,33,0.6
Edwin Aguilar,1.778,185 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Jessica Aguilar,1.6001999999999998,115 ,63,Orthodox, 1982,4.93,50,7.19,53,0.94,25,50,0.2
Kevin Aguilar,1.7018,155 ,73,Orthodox, 1988,3.69,37,4.47,53,0.19,25,87,0.0
Mike Aina,1.7526,155 ,,Orthodox,,2.87,33,6.33,59,0.0,0,71,0.0
Christian Aguilera,1.7526,170 ,72,Switch, 1991,3.35,41,4.89,46,0.0,0,0,0.0
Hitomi Akano,1.6256,135 ,,Southpaw, 1974,0.59,45,2.58,55,0.0,0,8,0.5
Rostem Akman,1.778,170 ,72,Switch, 1991,1.8,25,3.97,57,1.0,40,87,0.0
Herdem Alacabek,1.8796,205 ,75,Orthodox, 1991,3.84,65,6.66,23,2.06,50,42,0.0
Yoshihiro Akiyama,1.778,170 ,75,Orthodox, 1975,3.1,41,3.62,57,2.29,67,92,1.0
Javi Alanis,1.6764,135 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Omari Akhmedov,1.8288,185 ,73,Orthodox, 1987,2.92,34,2.69,57,2.56,50,65,0.2
Mostapha Al-Turk,1.8796,245 ,77,Orthodox, 1973,1.36,19,3.61,53,0.0,0,0,0.0
Razak Al-Hassan,1.8796,205 ,,Orthodox, 1982,3.27,39,3.14,60,0.65,14,57,0.0
