NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,NAME1,HEIGHT1,WEIGHT1,REACH1,STANCE1,DOB1,SLpM1,StrAcc1,SApM1,StrDef1,TDAvg1,TDAcc1,TDDef1,SubAvg1,WIN
Deiveson Figueiredo,1.651,125,68,Orthodox,1987,3.38,56,3.35,50,1.57,50,61,2.4,Brandon Moreno,1.7018,125,70,Orthodox,1993,3.41,38,3.41,59,2.01,45,67,0.6,1
Charles Oliveira,1.778,155,74,Orthodox,1989,3.22,52,2.94,54,2.64,44,57,2.8,Tony Ferguson,1.5494,155,76,Orthodox,1984,5.46,45,3.94,59,0.45,42,70,1.1,1
Mackenzie Dern,1.6256,115,63,Orthodox,1993,3.74,38,3.81,61,0.28,5,0,2.2,Virna Jandiroba,1.6002,115,64,Orthodox,1988,2.39,46,3.08,54,3.16,53,73,2,1
Kevin Holland,1.905,185,81,Orthodox,1992,4.74,57,2.77,56,1.19,42,52,0.8,Jacare Souza,1.8542,185,72,Orthodox,1979,2.53,46,2.85,62,2.55,39,60,1.4,1
Ciryl Gane,1.9304,245,81,Orthodox,1990,5.61,54,1.95,73,1.08,60,100,0.7,Junior Dos Santos,1.9304,238,77,Orthodox,1984,4.49,47,3.33,56,0.3,50,81,0.1,1
Cub Swanson,1.7272,145,70,Orthodox,1983,4.64,50,3.64,60,1.09,51,60,0.5,Daniel Pineda,1.7018,145,69,Orthodox,1985,3.41,49,2.72,44,1.55,29,44,1.8,1
Rafael Fiziev,1.7272,155,71,Switch,1993,4.67,57,4.17,55,0.84,50,100,0,Renato Moicano,1.5494,155,72,Orthodox,1989,5.4,46,3.74,65,1.28,53,78,0.6,1
Gavin Tucker,1.6764,145,66,Southpaw,1986,4.4,45,4.29,57,3,42,53,1.5,Billy Quarantillo,1.778,145,70,Orthodox,1988,7.03,64,4.37,42,1.28,31,57,1.8,1
Tecia Torres,1.5494,115,60,Orthodox,1989,4.3,47,3.37,62,0.68,15,56,0.1,Sam Hughes,1.651,115,64,Orthodox,1992,4,37,10.4,49,0,0,0,0,1
Chase Hooper,1.8542,145,74,Southpaw,1999,4.43,45,3.95,38,0.32,7,66,2.2,Peter Barrett,1.778,145,73,Southpaw,1986,4.18,61,4.32,42,1.39,22,66,0,1
Marvin Vettori,1.8288,185,74,Southpaw,1993,4.78,45,3.19,66,1.33,45,78,0.8,Jack Hermansson,1.8542,185,77,Orthodox,1988,5.03,44,3.46,54,1.96,34,75,0.7,1
Jamahal Hill,1.9304,205,79,Southpaw,1991,7.9,52,3.15,49,0,0,53,0,Ovince Saint Preux,1.905,205,80,Southpaw,1983,2.68,46,3.03,45,1.19,40,66,0.6,1
Gabriel Benitez,1.7272,155,71,Southpaw,1988,4.38,38,3.26,70,0.17,50,56,1.2,Justin Jaynes,1.7018,155,68,Orthodox,1989,4.79,43,7.82,60,0,0,50,0.9,1
Roman Dolidze,1.8796,205,76,Orthodox,1988,3.64,53,1.71,67,2.34,60,0,2.3,John Allan,1.8542,205,75,Orthodox,1993,2.95,43,4.01,52,1.94,71,50,1.2,1
Jordan Leavitt,1.7526,155,71,Southpaw,1995,1.08,55,0.43,75,6.5,66,0,3.2,Matt Wiman,1.778,155,68,Orthodox,1983,3.17,50,3.57,51,2.13,37,56,1.5,1
Louis Smolka,1.7526,135,68,Orthodox,1991,4.44,46,3.74,53,1.84,37,31,1.9,Jose Quinonez,1.7272,135,69,Southpaw,1990,3.6,45,3,64,2.7,47,42,0.6,1
Ilia Topuria,1.7018,145,69,Orthodox,1997,2.5,45,1.87,68,4.25,55,100,4.2,Damon Jackson,1.5494,145,71,Switch,1988,2.46,35,3.63,45,1.14,20,35,2.7,1
Jake Collier,1.905,230,78,Orthodox,1988,4.92,41,4.09,53,0.57,23,67,0.4,Gian Villante,1.905,230,76,Orthodox,1985,4.39,43,5.48,55,0.46,23,83,0,1
Uriah Hall,1.8288,185,79,Orthodox,1984,3.34,51,3.54,53,0.67,38,69,0.2,Anderson Silva,1.8796,185,77,Southpaw,1975,3.05,61,2.05,60,0.5,77,69,0.8,1
