NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,NAME1,HEIGHT1,WEIGHT1,REACH1,STANCE1,DOB1,SLpM1,StrAcc1,SApM1,StrDef1,TDAvg1,TDAcc1,TDDef1,SubAvg1,WIN
Deiveson Figueiredo,1.651,125.0,68.0,Orthodox,1987.0,3.38,56.0,3.35,50.0,1.57,50.0,61.0,2.4,Brandon Moreno,1.7018,125.0,70.0,Orthodox,1993.0,3.41,38.0,3.41,59.0,2.01,45.0,67.0,0.6,1.0
Charles Oliveira,1.778,155.0,74.0,Orthodox,1989.0,3.22,52.0,2.94,54.0,2.64,44.0,57.0,2.8,Tony Ferguson,1.5494,155.0,76.0,Orthodox,1984.0,5.46,45.0,3.94,59.0,0.45,42.0,70.0,1.1,1.0
Mackenzie Dern,1.6256,115.0,63.0,Orthodox,1993.0,3.74,38.0,3.81,61.0,0.28,5.0,0.0,2.2,Virna Jandiroba,1.6002,115.0,64.0,Orthodox,1988.0,2.39,46.0,3.08,54.0,3.16,53.0,73.0,2.0,1.0
Kevin Holland,1.905,185.0,81.0,Orthodox,1992.0,4.74,57.0,2.77,56.0,1.19,42.0,52.0,0.8,Jacare Souza,1.8542,185.0,72.0,Orthodox,1979.0,2.53,46.0,2.85,62.0,2.55,39.0,60.0,1.4,1.0
Ciryl Gane,1.9304,245.0,81.0,Orthodox,1990.0,5.61,54.0,1.95,73.0,1.08,60.0,100.0,0.7,Junior Dos Santos,1.9304,238.0,77.0,Orthodox,1984.0,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,1.0
Cub Swanson,1.7272,145.0,70.0,Orthodox,1983.0,4.64,50.0,3.64,60.0,1.09,51.0,60.0,0.5,Daniel Pineda,1.7018,145.0,69.0,Orthodox,1985.0,3.41,49.0,2.72,44.0,1.55,29.0,44.0,1.8,1.0
Rafael Fiziev,1.7272,155.0,71.0,Switch,1993.0,4.67,57.0,4.17,55.0,0.84,50.0,100.0,0.0,Renato Moicano,1.5494,155.0,72.0,Orthodox,1989.0,5.4,46.0,3.74,65.0,1.28,53.0,78.0,0.6,1.0
Gavin Tucker,1.6764,145.0,66.0,Southpaw,1986.0,4.4,45.0,4.29,57.0,3.0,42.0,53.0,1.5,Billy Quarantillo,1.778,145.0,70.0,Orthodox,1988.0,7.03,64.0,4.37,42.0,1.28,31.0,57.0,1.8,1.0
Tecia Torres,1.5494,115.0,60.0,Orthodox,1989.0,4.3,47.0,3.37,62.0,0.68,15.0,56.0,0.1,Sam Hughes,1.651,115.0,64.0,Orthodox,1992.0,4.0,37.0,10.4,49.0,0.0,0.0,0.0,0.0,1.0
Chase Hooper,1.8542,145.0,74.0,Southpaw,1999.0,4.43,45.0,3.95,38.0,0.32,7.0,66.0,2.2,Peter Barrett,1.778,145.0,73.0,Southpaw,1986.0,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0,1.0
Marvin Vettori,1.8288,185.0,74.0,Southpaw,1993.0,4.78,45.0,3.19,66.0,1.33,45.0,78.0,0.8,Jack Hermansson,1.8542,185.0,77.0,Orthodox,1988.0,5.03,44.0,3.46,54.0,1.96,34.0,75.0,0.7,1.0
