NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Shamil Abdurakhimov,1.905,235.0,76.0,Orthodox,1981.0,2.45,44.0,2.45,58.0,1.23,24.0,47.0,0.2
Klidson Abreu,1.8288,205.0,74.0,Orthodox,1992.0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0
Danny Abbadi,1.8034,155.0,72.0,Orthodox,1983.0,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0
Ricardo Abreu,1.8034,185.0,72.0,Orthodox,1984.0,3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7
Daichi Abe,1.8034,170.0,71.0,Orthodox,1991.0,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0
Papy Abedi,1.8034,185.0,72.0,Southpaw,1978.0,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3
Daniel Acacio,1.7271999999999998,180.0,72.0,Orthodox,1977.0,3.52,36.0,2.85,62.0,0.33,20.0,81.0,0.0
David Abbott,1.8288,265.0,72.0,Switch,1984.0,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0
Juan Adams,1.9558,265.0,80.0,Orthodox,1992.0,7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0
Israel Adesanya,1.9304,185.0,80.0,Switch,1989.0,4.1,50.0,2.33,65.0,0.0,0.0,86.0,0.3
Mariya Agapova,1.6764,125.0,68.0,Southpaw,1997.0,3.7,50.0,4.15,47.0,1.23,66.0,33.0,0.6
Jessica Aguilar,1.6001999999999998,115.0,63.0,Orthodox,1982.0,4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2
Kevin Aguilar,1.7018,155.0,73.0,Orthodox,1988.0,3.69,37.0,4.47,53.0,0.19,25.0,87.0,0.0
Hitomi Akano,1.6256,135.0,72.0,Southpaw,1974.0,0.59,45.0,2.58,55.0,0.0,0.0,8.0,0.5
Rostem Akman,1.778,170.0,72.0,Switch,1991.0,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0
